model,label,precision,recall,f1,support
gemma3:4b,B,1.0,0.5164835164835165,0.6811594202898551,91
gemma3:4b,E,0.0,0.0,0.0,2
gemma3:4b,S,0.6666666666666666,0.0425531914893617,0.08,47
gemma3:4b,V,0.4225352112676056,1.0,0.594059405940594,60
llama3.2:3b,B,0.9487179487179487,0.42528735632183906,0.5873015873015873,87
llama3.2:3b,E,0.07142857142857142,0.5,0.125,2
llama3.2:3b,S,0.6666666666666666,0.23529411764705882,0.34782608695652173,51
llama3.2:3b,V,0.4473684210526316,0.85,0.5862068965517241,60
mistral:7b,B,0.8636363636363636,0.9047619047619048,0.8837209302325582,84
mistral:7b,E,0.0,0.0,0.0,1
mistral:7b,S,0.75,0.2857142857142857,0.41379310344827586,42
mistral:7b,V,0.775,0.8732394366197183,0.8211920529801324,71
olmo2:7b,B,0.9213483146067416,0.9010989010989011,0.9111111111111111,91
olmo2:7b,E,0.0625,0.5,0.1111111111111111,2
olmo2:7b,S,0.7096774193548387,0.46808510638297873,0.5641025641025641,47
olmo2:7b,V,0.7758620689655172,0.75,0.7627118644067796,60
