model,n_samples,brier_score_raw,brier_score_isotonic,brier_score_temperature,brier_improvement_iso,brier_improvement_temp
mistral:7b,200,0.20588849999999997,0.169664931582532,0.20588849999999997,0.03622356841746796,0.0
olmo2:7b,200,0.19537,0.17941848917844402,0.19537,0.015951510821555964,0.0
gemma3:4b,200,0.23643899999999998,0.18530372029519226,0.236439,0.05113527970480772,-2.7755575615628914e-17
llama3.2:3b,200,0.31041850000000004,0.23217405735822216,0.31041850000000004,0.07824444264177788,0.0
