model,label,precision,recall,f1,support
gemma3:4b,B,0.9487179487179487,0.8131868131868132,0.8757396449704142,91
gemma3:4b,E,0.0,0.0,0.0,2
gemma3:4b,S,1.0,0.14893617021276595,0.25925925925925924,47
gemma3:4b,V,0.5480769230769231,0.95,0.6951219512195121,60
llama3.2:3b,B,0.9836065573770492,0.6593406593406593,0.7894736842105263,91
llama3.2:3b,E,0.07692307692307693,0.5,0.13333333333333333,2
llama3.2:3b,S,0.6428571428571429,0.19148936170212766,0.29508196721311475,47
llama3.2:3b,V,0.5096153846153846,0.8833333333333333,0.6463414634146342,60
mistral:7b,B,0.946236559139785,0.8888888888888888,0.9166666666666666,99
mistral:7b,E,0.07692307692307693,0.3333333333333333,0.125,3
mistral:7b,S,0.7272727272727273,0.37209302325581395,0.49230769230769234,43
mistral:7b,V,0.7333333333333333,0.8,0.7652173913043478,55
olmo2:7b,B,0.8585858585858586,0.9340659340659341,0.8947368421052632,91
olmo2:7b,E,0.05263157894736842,0.5,0.09523809523809523,2
olmo2:7b,S,0.7692307692307693,0.425531914893617,0.547945205479452,47
olmo2:7b,V,0.8867924528301887,0.7833333333333333,0.831858407079646,60
