model,n_samples,brier_score_raw,brier_score_isotonic,brier_score_temperature,brier_improvement_iso,brier_improvement_temp
mistral:7b,199,0.24481155778894473,0.1860425477538869,0.24481155778894473,0.05876901003505783,0.0
olmo2:7b,189,0.25312645502645503,0.169134931346477,0.25312645502645503,0.08399152367997803,0.0
gemma3:4b,183,0.2528688524590164,0.16662484498544244,0.2528688524590164,0.08624400747357397,0.0
llama3.2:3b,141,0.2455503546099291,0.2025693703705857,0.2455503546099291,0.042980984239343406,0.0
