model,n_samples,brier_score_raw,brier_score_isotonic,brier_score_temperature,brier_improvement_iso,brier_improvement_temp
mistral:7b,199,0.24625628140703523,0.20191732302484208,0.24625628140703515,0.04433895838219315,8.326672684688674e-17
olmo2:7b,200,0.2476,0.20543153871615039,0.2476,0.0421684612838496,0.0
gemma3:4b,79,0.24452531645569622,0.22554538370507543,0.24452531645569622,0.018979932750620793,0.0
llama3.2:3b,195,0.20032051282051283,0.17759988197394697,0.20032051282046157,0.022720630846565865,5.1264548162066603e-14
